Random seed: "--seed={ 0xe0b55206, 0x2d753027, 0xe4e071ba, 0x95eae222, 0x2e030bba, 0x7126a020, 0xd34875e8, 0x9db04630, 0xc48eda55, 0xd0e42016, 0xff057a18, 0x1b9242a2 }"
# variant=lvl1 response_length=126 max_candidates=0
pair,candidate_space,candidate_space_overflow,candidates,responses,odd_degree,even_degree,invalid,odd_percent,complete
327,225,0,225,60,22,38,0,36.66666667,1
328,225,0,225,62,26,36,0,41.93548387,1
329,225,0,225,66,26,40,0,39.39393939,1
330,225,0,225,60,24,36,0,40.00000000,1
331,375,0,375,60,16,44,0,26.66666667,1
332,375,0,375,50,14,36,0,28.00000000,1
333,175,0,175,52,14,38,0,26.92307692,1
334,175,0,175,80,20,60,0,25.00000000,1
335,99,0,99,74,20,54,0,27.02702703,1
336,105,0,105,60,36,24,0,60.00000000,1
337,105,0,105,52,26,26,0,50.00000000,1
338,315,0,315,52,26,26,0,50.00000000,1
339,189,0,189,72,24,48,0,33.33333333,1
340,315,0,315,54,28,26,0,51.85185185,1
341,225,0,225,62,18,44,0,29.03225806,1
342,225,0,225,60,20,40,0,33.33333333,1
343,375,0,375,54,14,40,0,25.92592593,1
344,225,0,225,56,24,32,0,42.85714286,1
345,225,0,225,60,24,36,0,40.00000000,1
346,243,0,243,64,30,34,0,46.87500000,1
347,315,0,315,66,24,42,0,36.36363636,1
348,175,0,175,62,30,32,0,48.38709677,1
349,189,0,189,66,24,42,0,36.36363636,1
350,125,0,125,52,12,40,0,23.07692308,1
351,135,0,135,64,26,38,0,40.62500000,1
352,375,0,375,60,26,34,0,43.33333333,1
353,375,0,375,54,16,38,0,29.62962963,1
354,105,0,105,54,14,40,0,25.92592593,1
355,99,0,99,56,16,40,0,28.57142857,1
356,315,0,315,60,20,40,0,33.33333333,1
357,125,0,125,58,14,44,0,24.13793103,1
358,225,0,225,52,22,30,0,42.30769231,1
359,175,0,175,76,38,38,0,50.00000000,1
360,225,0,225,58,26,32,0,44.82758621,1
361,375,0,375,66,24,42,0,36.36363636,1
362,315,0,315,62,26,36,0,41.93548387,1
363,375,0,375,54,16,38,0,29.62962963,1
364,189,0,189,62,28,34,0,45.16129032,1
365,135,0,135,56,20,36,0,35.71428571,1
366,189,0,189,70,26,44,0,37.14285714,1
367,225,0,225,58,26,32,0,44.82758621,1
368,225,0,225,68,26,42,0,38.23529412,1
369,225,0,225,56,18,38,0,32.14285714,1
370,225,0,225,56,26,30,0,46.42857143,1
371,225,0,225,62,22,40,0,35.48387097,1
372,315,0,315,60,14,46,0,23.33333333,1
373,375,0,375,54,28,26,0,51.85185185,1
374,99,0,99,74,20,54,0,27.02702703,1
375,315,0,315,62,24,38,0,38.70967742,1
