Random seed: "--seed={ 0xe1e60b91, 0x7e2fedf4, 0xc43dcfec, 0xa9496d39, 0xc226c56e, 0x3f13ae3c, 0x7b642335, 0xe6af4bcd, 0x0b13760c, 0x702c4fd7, 0xc4b13aba, 0x2af7421f }"
# variant=lvl1 response_length=156 max_candidates=1000000 max_responses=10000
pair,candidate_space,candidate_space_overflow,candidates,responses,odd_degree,even_degree,invalid,odd_percent,complete
310,>=18446744073709551615,1,34784,10000,3674,6326,0,36.74000000,0
311,>=18446744073709551615,1,38296,10000,3747,6253,0,37.47000000,0
312,>=18446744073709551615,1,40313,10000,3815,6185,0,38.15000000,0
313,>=18446744073709551615,1,39627,10000,3697,6303,0,36.97000000,0
314,>=18446744073709551615,1,35104,10000,3811,6189,0,38.11000000,0
315,>=18446744073709551615,1,37420,10000,3758,6242,0,37.58000000,0
316,>=18446744073709551615,1,36274,10000,3777,6223,0,37.77000000,0
317,>=18446744073709551615,1,41357,10000,3706,6294,0,37.06000000,0
318,>=18446744073709551615,1,35823,10000,3750,6250,0,37.50000000,0
319,>=18446744073709551615,1,36771,10000,3731,6269,0,37.31000000,0
320,>=18446744073709551615,1,39775,10000,3715,6285,0,37.15000000,0
321,>=18446744073709551615,1,35339,10000,3752,6248,0,37.52000000,0
322,>=18446744073709551615,1,37025,10000,3751,6249,0,37.51000000,0
323,>=18446744073709551615,1,35855,10000,3778,6222,0,37.78000000,0
324,>=18446744073709551615,1,40549,10000,3633,6367,0,36.33000000,0
325,>=18446744073709551615,1,37788,10000,3724,6276,0,37.24000000,0
326,>=18446744073709551615,1,40702,10000,3780,6220,0,37.80000000,0
327,>=18446744073709551615,1,37826,10000,3724,6276,0,37.24000000,0
328,>=18446744073709551615,1,36960,10000,3754,6246,0,37.54000000,0
329,>=18446744073709551615,1,36794,10000,3627,6373,0,36.27000000,0
330,>=18446744073709551615,1,36610,10000,3746,6254,0,37.46000000,0
331,>=18446744073709551615,1,41587,10000,3785,6215,0,37.85000000,0
